user_id,first_visit_date,age,platform,screen_list,session_count,total_screens_viewed,used_search_feature,wrote_review,added_to_wishlist,made_purchase,purchase_date,user_segment,region,acquisition_channel,app_version
100000,2023-09-19,66,Android,"CategoryBrowse,Search,WishList,ReturnPolicy,ProductDetail,WishList,ProductDetail,Account",5,10,1,1,0,1,2023-09-19 01:00:00,Senior Buyer,Europe,Referral,2.0.8
100001,2023-04-29,68,iOS,"OrderTracking,Promotions,Notifications,ProductDetail,ProductDetail,Checkout,Search,ProductList,StoreLocator,PaymentMethods,DeliveryOptions",8,39,0,0,0,0,,Senior Browser,Latin America,Organic Search,2.0.5
100002,2023-10-20,25,iOS,"ShoppingCart,WishList,ProductList,PaymentMethods,Reviews,Checkout,ShoppingCart,DeliveryOptions,Reviews,AddressBook,Notifications",9,19,1,0,1,0,,Adult Browser,Europe,Social Media,2.0.6
100003,2023-07-04,39,Android,"Checkout,ColorPicker,OrderTracking,WishList,OrderTracking,ProductList,OrderTracking,Account,SizeGuide,Promotions,ProductList,OrderTracking,ColorPicker",8,47,0,0,0,0,,Adult Browser,Asia Pacific,Social Media,2.2.1
100004,2023-01-02,28,iOS,"ColorPicker,ShoppingCart,Reviews,Account,CategoryBrowse,OrderTracking,Checkout,ProductList,CustomerService,Notifications",9,29,0,1,1,0,,Adult Browser,Latin America,Paid Search,2.2.8
100005,2023-06-26,56,iOS,"Account,CustomerService,StoreLocator,CustomerService,CustomerService,Account,PaymentMethods,Checkout,ReturnPolicy,ProductList",8,15,0,0,0,0,,Senior Browser,North America,Paid Search,1.3.8
100006,2023-05-23,40,iOS,"Search,DeliveryOptions,ShoppingCart,ProductDetail,CategoryBrowse,Search,ProductList,DeliveryOptions,StoreLocator,ProductDetail",5,9,0,0,0,0,,Adult Browser,North America,Social Media,2.1.8
100007,2023-03-28,61,iOS,"Search,PaymentMethods,Search,OrderTracking",9,5,0,0,0,1,2023-03-28 17:00:00,Senior Power User,Asia Pacific,Email,2.3.6
100008,2023-07-23,28,Android,"PaymentMethods,ReturnPolicy,PaymentMethods,Reviews,ReturnPolicy,DeliveryOptions,ColorPicker",5,48,1,0,0,1,2023-07-23 12:00:00,Adult Buyer,Latin America,Paid Search,2.0.0
100009,2023-06-04,51,Android,"CustomerService,Checkout,Search,WishList,CustomerService,ShoppingCart,CustomerService,DeliveryOptions,Promotions,Search",9,20,0,0,1,1,2023-06-04 11:00:00,Senior Power User,Asia Pacific,Referral,2.4.2
100010,2023-03-13,39,Android,"Checkout,DeliveryOptions,ProductDetail,DeliveryOptions",5,12,1,0,0,1,2023-03-13 06:00:00,Adult Buyer,Europe,Referral,1.2.3
100011,2023-09-20,31,iOS,"Checkout,ColorPicker,Reviews,CategoryBrowse",9,15,1,0,0,0,,Adult Browser,Europe,Social Media,2.3.5
100012,2023-06-30,59,iOS,"ProductList,CategoryBrowse,Search,CustomerService,Account,CustomerService,ProductList,ShoppingCart,Checkout,ProductDetail",3,37,1,0,1,0,,Senior Browser,North America,Organic Search,2.4.7
100013,2023-02-25,45,Android,"CustomerService,Search,ProductList,StoreLocator,Notifications,ColorPicker,OrderTracking,Reviews,Search",1,24,1,0,1,0,,Senior Browser,Asia Pacific,Organic Search,2.2.8
100014,2023-09-12,50,iOS,"SizeGuide,Checkout,PaymentMethods,CustomerService,ProductList,SizeGuide,Reviews,WishList,AddressBook,SizeGuide,StoreLocator,Search,CategoryBrowse,DeliveryOptions",7,39,1,0,0,0,,Senior Browser,North America,Paid Search,2.2.9
100015,2023-03-22,67,Android,"ProductList,ProductList,AddressBook,ProductList,WishList,PaymentMethods,ProductList,WishList,SizeGuide",5,7,1,0,1,1,2023-03-22 13:00:00,Senior Buyer,North America,Paid Search,2.2.7
100016,2023-01-19,63,iOS,"Notifications,CategoryBrowse,ProductList,ColorPicker,ProductList,Reviews,ColorPicker,Reviews,Checkout",7,30,1,0,1,1,2023-01-19 22:00:00,Senior Buyer,North America,Paid Search,1.1.3
100017,2023-10-11,42,iOS,"ShoppingCart,CustomerService,Promotions,CategoryBrowse,ShoppingCart,StoreLocator,CategoryBrowse,PaymentMethods,Account,Reviews,SizeGuide,Search,WishList",8,5,1,1,1,0,,Adult Browser,Asia Pacific,Organic Search,1.4.8
100018,2023-01-17,19,Android,"SizeGuide,ProductDetail,ColorPicker,Reviews,StoreLocator",2,27,1,0,1,0,,Young Browser,North America,Organic Search,1.1.5
100019,2023-04-26,37,iOS,"StoreLocator,CustomerService,DeliveryOptions,AddressBook,CustomerService,ProductDetail,ReturnPolicy,Search,OrderTracking,Search",1,6,1,0,1,0,,Adult Browser,North America,Organic Search,1.4.6
100020,2023-04-25,23,Android,"DeliveryOptions,Checkout,Account,ShoppingCart,StoreLocator,Notifications,CategoryBrowse,WishList,Reviews,ProductList,Search,Checkout,Reviews",3,41,1,0,0,0,,Young Browser,North America,Organic Search,1.2.1
100021,2023-03-11,20,Android,"Account,Notifications,ShoppingCart,ShoppingCart,ShoppingCart,StoreLocator,Account",8,15,0,1,0,1,2023-03-11 15:00:00,Young Power User,North America,Social Media,2.1.9
100022,2023-03-26,61,iOS,"CustomerService,Promotions,Reviews,Account,Search,ProductDetail,ProductDetail,StoreLocator,CustomerService,ShoppingCart,Account,Promotions",9,32,1,0,1,1,2023-03-26 08:00:00,Senior Power User,Europe,Email,2.2.8
100023,2023-10-05,65,Android,"ReturnPolicy,Search,ShoppingCart,DeliveryOptions,ColorPicker,Notifications,CategoryBrowse,StoreLocator,DeliveryOptions,ProductList,WishList,AddressBook",8,34,1,0,1,1,2023-10-05 17:00:00,Senior Power User,North America,Paid Search,1.3.5
100024,2023-07-20,25,Android,"ProductDetail,Account,ProductList",8,6,1,0,1,1,2023-07-20 05:00:00,Adult Power User,Latin America,Organic Search,2.1.0
100025,2023-11-15,40,iOS,"Account,Checkout,ShoppingCart,ColorPicker,Notifications,Search,Account,StoreLocator,SizeGuide",6,23,1,0,1,0,,Adult Browser,Europe,Social Media,2.0.4
100026,2023-08-31,20,iOS,"WishList,OrderTracking,Promotions,Notifications,ProductList,Account",1,25,1,0,1,1,2023-08-31 17:00:00,Young Buyer,North America,Paid Search,1.4.4
100027,2023-07-21,67,Android,"PaymentMethods,AddressBook,Reviews",7,6,1,0,1,0,,Senior Browser,Asia Pacific,Referral,1.1.2
100028,2023-09-26,48,Android,"Promotions,CategoryBrowse,AddressBook,Checkout,PaymentMethods,Reviews,Notifications",4,15,0,0,1,0,,Senior Browser,Middle East,Social Media,2.0.8
100029,2023-12-21,38,iOS,"ProductDetail,ShoppingCart,CustomerService,WishList,ProductList,ReturnPolicy,Notifications,CategoryBrowse,AddressBook,Search",7,37,1,0,0,0,,Adult Browser,Europe,Paid Search,1.2.8
100030,2023-08-27,41,iOS,"ProductList,StoreLocator,PaymentMethods,ReturnPolicy,ColorPicker,Reviews,Promotions,Reviews,SizeGuide,Promotions,PaymentMethods",2,16,1,0,0,1,2023-08-27 06:00:00,Adult Buyer,Europe,Paid Search,2.2.5
100031,2023-05-15,34,iOS,"ShoppingCart,PaymentMethods,ProductList,SizeGuide,SizeGuide,CategoryBrowse,CategoryBrowse,DeliveryOptions,WishList,DeliveryOptions,ColorPicker,OrderTracking",9,42,1,0,0,1,2023-05-15 00:00:00,Adult Power User,Latin America,Social Media,2.1.4
100032,2023-10-27,26,iOS,"CategoryBrowse,AddressBook,CustomerService,SizeGuide,CustomerService,ShoppingCart,ProductDetail,ColorPicker,Reviews,ShoppingCart,ColorPicker,CustomerService",3,15,1,0,0,0,,Adult Browser,North America,Social Media,2.3.1
100033,2023-08-04,46,Android,"ProductDetail,ProductDetail,ProductDetail,ShoppingCart,AddressBook,Promotions,Account,OrderTracking,DeliveryOptions,OrderTracking",7,7,1,0,0,1,2023-08-04 04:00:00,Senior Buyer,North America,Paid Search,2.2.1
100034,2023-08-02,31,iOS,"ReturnPolicy,ProductDetail,ShoppingCart,Account,Search,ProductList",8,6,0,1,0,0,,Adult Browser,Europe,Social Media,2.4.5
100035,2023-10-28,52,iOS,"WishList,Checkout,Reviews,ColorPicker",5,36,1,0,1,1,2023-10-28 14:00:00,Senior Buyer,North America,Paid Search,1.2.7
100036,2023-05-10,25,iOS,"ShoppingCart,Notifications,Checkout,CategoryBrowse,ColorPicker,Promotions,CustomerService",3,43,1,0,1,1,2023-05-12 00:00:00,Adult Buyer,Asia Pacific,Email,2.3.5
100037,2023-07-28,40,Android,"ReturnPolicy,Search,WishList,WishList,ReturnPolicy,Reviews,PaymentMethods,WishList",6,24,1,0,0,1,2023-07-28 18:00:00,Adult Buyer,North America,Email,1.1.3
100038,2023-07-01,21,iOS,"DeliveryOptions,Checkout,ColorPicker,Account,PaymentMethods,Search,ProductList,AddressBook,PaymentMethods,ProductList,Search,ProductDetail,Checkout,ProductList",6,11,1,0,0,1,2023-07-01 02:00:00,Young Buyer,Europe,Paid Search,2.3.3
100039,2023-11-14,53,iOS,"CategoryBrowse,AddressBook,PaymentMethods,WishList,OrderTracking,Checkout",2,26,0,0,1,0,,Senior Browser,Asia Pacific,Social Media,2.0.9
100040,2023-02-02,22,Android,"ProductList,ShoppingCart,Promotions,SizeGuide,DeliveryOptions,OrderTracking,Notifications",8,17,1,1,1,0,,Young Browser,Europe,Paid Search,2.1.4
100041,2023-01-14,47,Android,"ShoppingCart,DeliveryOptions,Account,ProductList,ShoppingCart,Search,WishList,ColorPicker,Search,ReturnPolicy,Account,WishList,OrderTracking,ProductList",1,43,0,0,0,0,,Senior Browser,Europe,Organic Search,1.2.2
100042,2023-01-09,39,Android,"ColorPicker,DeliveryOptions,Notifications,DeliveryOptions,Search",1,38,1,0,0,0,,Adult Browser,Europe,Referral,2.0.7
100043,2023-07-21,47,Android,"StoreLocator,ProductDetail,ShoppingCart",9,16,1,1,0,1,2023-07-21 20:00:00,Senior Power User,Latin America,Email,1.2.3
100044,2023-01-14,53,Android,"Notifications,DeliveryOptions,Notifications,PaymentMethods,ReturnPolicy,PaymentMethods,CategoryBrowse",2,32,1,0,1,1,2023-01-17 00:00:00,Senior Buyer,North America,Social Media,2.4.1
100045,2023-07-26,59,iOS,"Search,ShoppingCart,ColorPicker,ProductDetail,CategoryBrowse,CustomerService,Promotions,ColorPicker,ShoppingCart,WishList",2,36,1,0,0,0,,Senior Browser,Europe,Paid Search,2.3.1
100046,2023-01-12,62,iOS,"ProductDetail,StoreLocator,ShoppingCart,AddressBook,Checkout,CategoryBrowse,ShoppingCart",7,46,1,0,0,1,2023-01-12 01:00:00,Senior Buyer,North America,Organic Search,1.0.7
